STATION,DATE,MAX
72530094846,2013-10-14,64.0
72530094846,2013-10-15,64.0
72530094846,2013-10-16,63.0
72530094846,2013-10-17,54.0
72530094846,2013-10-18,53.1
72530094846,2013-10-19,54.0
72530094846,2013-10-20,61.0
72530094846,2013-10-21,61.0
72530094846,2013-10-22,55.0
72530094846,2013-10-23,46.0
72530094846,2013-10-24,46.0
72530094846,2013-10-25,51.1
72530094846,2013-10-26,55.0
72530094846,2013-10-27,55.0
72530094846,2013-10-28,54.0
72530094846,2013-10-29,57.0
72530094846,2013-10-30,59.0
72530094846,2013-10-31,64.0
72530094846,2013-11-01,64.0
72530094846,2013-11-02,48.2
72530094846,2013-11-03,53.1
72530094846,2013-11-04,57.9
72530094846,2013-11-05,57.9
72530094846,2013-11-06,57.2
72530094846,2013-11-07,57.0
72530094846,2013-11-08,48.0
72530094846,2013-11-09,57.0
72530094846,2013-11-10,57.9
72530094846,2013-11-11,46.9
72530094846,2013-11-12,46.9
72530094846,2013-11-13,39.9
72530094846,2013-11-14,48.9
72530094846,2013-11-15,50.0
72530094846,2013-11-16,57.2
72530094846,2013-11-17,69.1
72530094846,2013-11-18,48.0
72530094846,2013-11-19,43.0
72530094846,2013-11-20,51.1
72530094846,2013-11-21,51.1
72530094846,2013-11-22,51.1
72530094846,2013-11-23,43.0
72530094846,2013-11-24,27.0
72530094846,2013-11-25,30.9
72530094846,2013-11-26,34.0
72530094846,2013-11-27,34.0
72530094846,2013-11-28,34.0
72530094846,2013-11-29,36.0
72530094846,2013-11-30,50.0
72530094846,2013-12-01,50.0
72530094846,2013-12-02,44.1
72530094846,2013-12-03,48.9
72530094846,2013-12-04,55.9
72530094846,2013-12-05,55.9
72530094846,2013-12-06,24.1
72530094846,2013-12-07,21.0
72530094846,2013-12-08,30.0
72530094846,2013-12-09,26.6
72530094846,2013-12-10,25.0
72530094846,2013-12-11,25.0
72530094846,2013-12-12,21.0
72530094846,2013-12-13,30.9
72530094846,2013-12-14,32.0
72530094846,2013-12-15,30.9
72530094846,2013-12-16,23.0
72530094846,2013-12-17,33.1
72530094846,2013-12-18,33.1
72530094846,2013-12-19,39.0
72530094846,2013-12-20,39.0
72530094846,2013-12-21,36.0
72530094846,2013-12-22,35.1
72530094846,2013-12-23,34.0
72530094846,2013-12-24,17.1
72530094846,2013-12-25,26.1
72530094846,2013-12-26,32.0
72530094846,2013-12-27,39.9
72530094846,2013-12-28,50.0
72530094846,2013-12-29,50.0
72530094846,2013-12-30,21.9
72530094846,2013-12-31,12.9
72530094846,2014-01-01,21.9
72530094846,2014-01-02,21.9
72530094846,2014-01-03,21.0
72530094846,2014-01-04,30.9
72530094846,2014-01-05,30.9
72530094846,2014-01-06,7.0
72530094846,2014-01-07,3.0
72530094846,2014-01-08,17.1
72530094846,2014-01-09,23.0
72530094846,2014-01-10,39.0
72530094846,2014-01-11,39.9
72530094846,2014-01-12,41.0
72530094846,2014-01-13,45.0
72530094846,2014-01-14,45.0
72530094846,2014-01-15,27.0
72530094846,2014-01-16,34.0
72530094846,2014-01-17,30.9
72530094846,2014-01-18,21.0
72530094846,2014-01-19,34.0
72530094846,2014-01-20,36.0
72530094846,2014-01-21,24.1
72530094846,2014-01-22,15.1
72530094846,2014-01-23,15.1
72530094846,2014-01-24,23.0
72530094846,2014-01-25,33.8
72530094846,2014-01-26,33.1
72530094846,2014-01-27,30.0
72530094846,2014-01-28,6.1
72530094846,2014-01-29,21.9
72530094846,2014-01-30,32.0
72530094846,2014-01-31,33.1
72530094846,2014-02-01,30.9
72530094846,2014-02-02,30.9
72530094846,2014-02-03,21.0
72530094846,2014-02-04,24.1
72530094846,2014-02-05,25.0
72530094846,2014-02-06,25.0
72530094846,2014-02-07,14.0
72530094846,2014-02-08,15.8
72530094846,2014-02-09,19.0
72530094846,2014-02-10,19.0
72530094846,2014-02-11,14.0
72530094846,2014-02-12,24.1
72530094846,2014-02-13,30.9
72530094846,2014-02-14,32.0
72530094846,2014-02-15,24.1
72530094846,2014-02-16,28.9
72530094846,2014-02-17,28.9
72530094846,2014-02-18,46.0
72530094846,2014-02-19,46.0
72530094846,2014-02-20,44.1
72530094846,2014-02-21,48.9
72530094846,2014-02-22,37.0
72530094846,2014-02-23,35.1
72530094846,2014-02-24,28.0
72530094846,2014-02-25,25.0
72530094846,2014-02-26,21.9
72530094846,2014-02-27,18.0
72530094846,2014-02-28,28.0
72530094846,2014-03-01,30.9
72530094846,2014-03-02,15.1
72530094846,2014-03-03,19.0
72530094846,2014-03-04,27.0
72530094846,2014-03-05,27.0
72530094846,2014-03-06,33.1
72530094846,2014-03-07,46.9
72530094846,2014-03-08,46.9
72530094846,2014-03-09,39.0
72530094846,2014-03-10,53.1
72530094846,2014-03-11,53.1
72530094846,2014-03-12,50.0
72530094846,2014-03-13,35.1
72530094846,2014-03-14,52.0
72530094846,2014-03-15,53.1
72530094846,2014-03-16,39.9
72530094846,2014-03-17,39.9
72530094846,2014-03-18,52.0
72530094846,2014-03-19,52.0
72530094846,2014-03-20,46.9
72530094846,2014-03-21,57.9
72530094846,2014-03-22,57.9
72530094846,2014-03-23,41.0
72530094846,2014-03-24,36.0
72530094846,2014-03-25,36.0
72530094846,2014-03-26,39.0
72530094846,2014-03-27,48.2
